-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
     2.5028e+02!     5.5300e+01!    -7.7730e+01!     5.8302e+01!     7.7667e-04!     9.5300e+02!     2.9963e-08!    -3.3462e-13!     3.8288e-11!     1.6759e-07!     1.0000e+00!     4.4850e+02!    -1.0488e-08!     0.0000e+00!     4.3255e-10!    -1.4013e-01!     1.5925e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5018e+02!     5.5300e+01!    -7.7730e+01!     5.8323e+01!     7.7921e-04!     9.5300e+02!     2.9475e-08!     1.1627e-12!     4.2312e-11!     1.7021e-07!     1.0000e+00!     4.4850e+02!     5.6491e-09!     3.1671e-08!     4.0633e-10!    -2.7584e-01!     1.5717e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5015e+02!     5.5300e+01!    -7.7730e+01!     5.8344e+01!     7.9081e-04!     9.5300e+02!     2.9880e-08!     6.2857e-13!     5.4266e-11!     1.6786e-07!     1.0000e+00!     4.4850e+02!     2.6612e-08!     0.0000e+00!     4.0332e-10!    -1.5404e-01!     1.5809e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5012e+02!     5.5300e+01!    -7.7730e+01!     5.8365e+01!     7.9712e-04!     9.5300e+02!     2.9813e-08!     9.7308e-13!     4.3273e-11!     1.6743e-07!     1.0000e+00!     4.4850e+02!     8.0979e-09!     0.0000e+00!     4.0777e-10!    -1.2192e-01!     1.6190e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5015e+02!     5.5300e+01!    -7.7730e+01!     5.8385e+01!     8.0741e-04!     9.5300e+02!     2.9491e-08!     1.2355e-12!     4.2934e-11!     1.6829e-07!     1.0000e+00!     4.4850e+02!     1.9146e-08!     0.0000e+00!     3.3291e-10!    -2.1884e-01!     1.6211e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5016e+02!     5.5300e+01!    -7.7730e+01!     5.8406e+01!     8.1453e-04!     9.5300e+02!     2.9331e-08!     2.3735e-12!     4.0931e-11!     1.6832e-07!     1.0000e+00!     4.4850e+02!     2.2331e-08!     0.0000e+00!     3.4114e-10!     2.4796e-01!     1.6603e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5018e+02!     5.5300e+01!    -7.7730e+01!     5.8427e+01!     8.2818e-04!     9.5300e+02!     2.9645e-08!     1.9606e-12!     4.1124e-11!     1.6768e-07!     1.0000e+00!     4.4850e+02!     4.0912e-08!     3.4280e-07!     3.3536e-10!    -3.0373e-01!     1.4841e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5024e+02!     5.5300e+01!    -7.7730e+01!     5.8448e+01!     8.3804e-04!     9.5300e+02!     2.9625e-08!     1.7057e-12!     4.2099e-11!     1.6800e-07!     1.0000e+00!     4.4850e+02!     2.6765e-08!     1.0446e-07!     4.1218e-10!    -2.0798e-01!     1.3939e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5014e+02!     5.5300e+01!    -7.7730e+01!     5.8469e+01!     8.7306e-04!     9.5300e+02!     2.9667e-08!     2.7113e-12!     4.2568e-11!     1.6843e-07!     1.0000e+00!     4.4850e+02!     5.1212e-08!     5.1894e-07!     3.3761e-10!     3.0127e-01!     1.6502e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5003e+02!     5.5300e+01!    -7.7730e+01!     5.8490e+01!     8.8529e-04!     9.5300e+02!     3.0062e-08!     3.4824e-12!     4.4121e-11!     1.6799e-07!     1.0000e+00!     4.4850e+02!     9.1734e-10!     2.2939e-05!     4.1648e-10!     3.0278e-01!     1.7350e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5010e+02!     5.5300e+01!    -7.7730e+01!     5.8510e+01!     8.9465e-04!     9.5300e+02!     3.0068e-08!     3.7186e-12!     4.2699e-11!     1.6853e-07!     1.0000e+00!     4.4850e+02!     4.2139e-08!     3.6184e-04!     4.2589e-10!     2.7362e-01!     2.1470e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
