-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!         IC4H10!         NC4H10!         IC5H12!         NC5H12!           C2H4!           C3H6!           C2H2!        APINENE!         ALBEDO!           XRO2!       CAMPHENE!          GTERP!       LIMONENE!         CARENE!          XMACR!           XMVK!      XLANCISOP!  XLANCMONOTERP!          XREAC!       XREACUNC!         XOHDEV!       Xreacvar!          SAREA!          XLISA!         XMAGIC!          XHCHO!   XMACR_stddev!    XMVK_stddev!
     2.9426e+02!     4.9700e+00!     1.1783e+02!     1.1261e+02!     2.1040e-02!     1.0130e+03!     1.0237e-08!     2.4254e-11!     2.5012e-10!     1.2952e-07!     1.0000e+00!     0.0000e+00!     3.8513e+05!     6.4944e-10!     7.5197e-10!     1.7395e-10!     1.4836e-10!     6.5928e-11!     5.1553e-11!     2.9547e-11!     1.4609e-10!     3.6050e-11!     2.5079e-10!     1.1047e-11!     1.0000e-01!     1.1788e-11!     1.1897e-11!     7.3237e-11!     5.3110e-11!     2.3633e-12!     5.0190e-11!     2.4504e-10!     1.0014e-09!     1.6990e-10!     1.1239e+01!     1.3565e+00!     3.6796e+05!     2.4526e+00!     1.0728e-04!     7.4000e-10!     2.0000e-08!     8.7598e-10!     5.0229e-12!     1.2736e-10!
     2.9419e+02!     4.9700e+00!     1.1783e+02!     1.1264e+02!     2.0959e-02!     1.0130e+03!     9.6482e-09!     2.1347e-11!     2.1825e-10!     1.3165e-07!     1.0000e+00!     0.0000e+00!     3.0909e+05!     6.2731e-10!     6.9747e-10!     1.2795e-10!     3.9026e-11!     5.0050e-11!     4.7933e-11!     2.7889e-11!     1.3849e-10!     3.0360e-11!     2.5037e-10!     2.3593e-11!     1.0000e-01!     1.0801e-11!     4.2063e-11!     5.0443e-11!     9.7570e-11!     2.1367e-12!     3.5157e-11!     1.5461e-10!     9.0581e-10!     1.7781e-10!     1.1098e+01!     1.4054e+00!     2.9450e+05!     2.2930e+00!     1.0361e-04!     7.4000e-10!     2.0000e-08!     1.0584e-09!     1.8042e-11!     4.9040e-11!
     2.9408e+02!     4.9700e+00!     1.1783e+02!     1.1266e+02!     2.0921e-02!     1.0130e+03!     1.0455e-08!     1.6750e-11!     2.2880e-10!     1.2885e-07!     1.0000e+00!     0.0000e+00!     4.0034e+05!     3.5914e-10!     7.0600e-10!     1.3704e-10!     1.1020e-10!     5.1548e-11!     4.8103e-11!     2.7310e-11!     1.3052e-10!     3.1800e-11!     2.3043e-10!     1.4590e-11!     1.0000e-01!     1.1310e-11!     1.9834e-11!     5.8924e-11!     5.6606e-11!     2.1520e-12!     5.6558e-11!     1.8056e-10!     8.8478e-10!     2.1413e-10!     1.3592e+01!     1.5919e+00!     4.3600e+05!     2.9771e+00!     9.6416e-05!     7.4000e-10!     2.0000e-08!     8.2826e-10!     8.0012e-12!     2.8895e-11!
     2.9406e+02!     4.9700e+00!     1.1783e+02!     1.1268e+02!     2.0867e-02!     1.0130e+03!     1.0359e-08!     2.1359e-11!     2.0169e-10!     1.2838e-07!     1.0000e+00!     0.0000e+00!     4.2828e+05!     6.6376e-10!     7.3110e-10!     1.5057e-10!     4.6214e-11!     6.2028e-11!     6.6594e-11!     2.9413e-11!     1.3809e-10!     4.2850e-11!     3.3128e-10!     1.5710e-11!     1.0000e-01!     1.2485e-11!     2.0508e-11!     5.8418e-11!     5.6513e-11!     2.1980e-12!     0.0000e+00!     0.0000e+00!     7.4301e-10!     2.0979e-10!     1.0428e+01!     1.3868e+00!     3.2100e+05!     2.9004e+00!     9.9140e-05!     7.4000e-10!     2.0000e-08!     1.2436e-09!     0.0000e+00!     0.0000e+00!
     2.9398e+02!     4.9700e+00!     1.1783e+02!     1.1270e+02!     2.0748e-02!     1.0130e+03!     1.0037e-08!     2.2454e-11!     1.8186e-10!     1.2874e-07!     1.0000e+00!     0.0000e+00!     4.4720e+05!     3.4484e-10!     7.0620e-10!     1.2773e-10!     7.6707e-11!     4.8986e-11!     5.6683e-11!     2.4723e-11!     1.6214e-10!     4.9550e-11!     2.9038e-10!     1.6830e-11!     1.0000e-01!     1.3085e-11!     2.1182e-11!     5.7912e-11!     5.6420e-11!     2.2440e-12!     5.0242e-11!     1.6764e-10!     7.0494e-10!     1.9685e-10!     1.0588e+01!     1.4048e+00!     2.6998e+05!     1.7186e+00!     8.4842e-05!     7.4000e-10!     2.0000e-08!     7.0918e-10!     1.8871e-11!     4.7962e-11!
     2.9387e+02!     4.9700e+00!     1.1783e+02!     1.1272e+02!     2.0752e-02!     1.0130e+03!     9.3755e-09!     2.3392e-11!     1.8215e-10!     1.2945e-07!     1.0000e+00!     0.0000e+00!     3.5727e+05!     6.1421e-10!     7.2571e-10!     1.4187e-10!     4.1739e-11!     5.5187e-11!     5.4578e-11!     3.1056e-11!     1.6026e-10!     3.7570e-11!     3.0446e-10!     1.6195e-11!     1.0000e-01!     1.2415e-11!     1.6674e-11!     5.8676e-11!     4.8772e-11!     1.9970e-12!     0.0000e+00!     0.0000e+00!     6.2862e-10!     1.8029e-10!     1.0743e+01!     1.3682e+00!     5.5898e+05!     1.9816e+00!     8.8115e-05!     7.4000e-10!     2.0000e-08!     9.5135e-10!     0.0000e+00!     0.0000e+00!
     2.9385e+02!     4.9700e+00!     1.1783e+02!     1.1274e+02!     2.0711e-02!     1.0130e+03!     8.8095e-09!     2.2291e-11!     2.0199e-10!     1.2972e-07!     1.0000e+00!     0.0000e+00!     2.3509e+05!     2.1320e-10!     7.2179e-10!     1.6224e-10!     1.5023e-10!     5.9650e-11!     5.1119e-11!     2.9622e-11!     1.8166e-10!     3.4820e-11!     2.4740e-10!     1.5560e-11!     1.0000e-01!     9.1987e-12!     1.2167e-11!     5.9440e-11!     4.1123e-11!     1.7500e-12!     4.0593e-11!     1.6666e-10!     6.0147e-10!     1.5940e-10!     9.5704e+00!     1.3119e+00!     2.7238e+05!     1.3506e+00!     8.6493e-05!     7.4000e-10!     2.0000e-08!     1.0396e-09!     9.4801e-12!     3.8682e-13!
     2.9396e+02!     4.9700e+00!     1.1783e+02!     1.1276e+02!     2.0592e-02!     1.0130e+03!     1.1216e-08!     2.1545e-11!     2.1974e-10!     1.3131e-07!     1.0000e+00!     0.0000e+00!     4.0698e+05!     3.0078e-10!     7.2711e-10!     1.3564e-10!     3.6246e-11!     4.6299e-11!     5.1898e-11!     2.4690e-11!     1.2406e-10!     3.3170e-11!     2.5616e-10!     2.0447e-11!     1.0000e-01!     9.8013e-12!     3.5920e-11!     5.3547e-11!     6.8363e-11!     2.4433e-12!     6.2787e-11!     2.4813e-10!     5.6212e-10!     1.4735e-10!     9.7060e+00!     1.3517e+00!     3.6178e+05!     1.7770e+00!     7.5977e-05!     7.4000e-10!     2.0000e-08!     1.3153e-09!     9.7399e-12!     7.0945e-11!
     2.9399e+02!     4.9700e+00!     1.1783e+02!     1.1278e+02!     2.0488e-02!     1.0130e+03!     1.0248e-08!     2.6079e-11!     1.9394e-10!     1.2649e-07!     1.0000e+00!     0.0000e+00!     4.6303e+05!     2.1815e-10!     7.8310e-10!     1.4386e-10!     1.0504e-10!     4.8674e-11!     5.3181e-11!     2.9449e-11!     1.3002e-10!     1.4010e-11!     2.3546e-10!     1.9868e-11!     1.0000e-01!     1.0880e-11!     2.4142e-11!     5.4216e-11!     5.2452e-11!     2.1280e-12!     4.0630e-11!     1.5084e-10!     5.9347e-10!     1.3867e-10!     8.8980e+00!     1.1915e+00!     3.8706e+05!     1.0412e+00!     6.4397e-05!     7.4000e-10!     2.0000e-08!     5.6940e-10!     1.7146e-11!     2.4307e-11!
     2.9400e+02!     4.9700e+00!     1.1783e+02!     1.1280e+02!     2.0450e-02!     1.0130e+03!     9.6784e-09!     2.7393e-11!     1.6322e-10!     1.2832e-07!     1.0000e+00!     0.0000e+00!     5.1012e+05!     2.5194e-10!     6.4511e-10!     1.6796e-10!     4.6753e-11!     5.6496e-11!     5.5673e-11!     2.6668e-11!     1.0406e-10!     3.3100e-11!     2.1391e-10!     1.5851e-11!     1.0000e-01!     1.0931e-11!     2.0641e-11!     5.4803e-11!     5.1166e-11!     2.1073e-12!     0.0000e+00!     0.0000e+00!     5.5920e-10!     1.2977e-10!     9.8492e+00!     1.2761e+00!     6.7885e+05!     1.9403e+00!     6.5114e-05!     7.4000e-10!     2.0000e-08!     9.7604e-10!     0.0000e+00!     0.0000e+00!
     2.9394e+02!     4.9700e+00!     1.1783e+02!     1.1282e+02!     2.0391e-02!     1.0130e+03!     8.6272e-09!     2.7693e-11!     1.5511e-10!     1.2767e-07!     1.0000e+00!     0.0000e+00!     2.7347e+05!     2.1766e-10!     7.0286e-10!     1.3857e-10!     8.6844e-11!     4.1460e-11!     4.8793e-11!     2.6567e-11!     1.1264e-10!     1.3610e-11!     2.2044e-10!     1.1835e-11!     1.0000e-01!     1.2128e-11!     1.7140e-11!     5.5390e-11!     4.9880e-11!     2.0867e-12!     3.0877e-11!     2.7627e-10!     5.3193e-10!     1.4560e-10!     8.5613e+00!     1.2036e+00!     2.0058e+05!     1.6927e+00!     6.4152e-05!     7.4000e-10!     2.0000e-08!     7.9263e-10!     4.6726e-12!     1.7851e-10!
     2.9395e+02!     4.9700e+00!     1.1783e+02!     1.1284e+02!     2.0273e-02!     1.0130e+03!     8.9595e-09!     2.3748e-11!     1.8311e-10!     1.2860e-07!     1.0000e+00!     0.0000e+00!     6.9126e+05!     2.1817e-10!     8.1178e-10!     1.8818e-10!     4.4224e-11!     5.4600e-11!     5.9090e-11!     2.8957e-11!     9.4033e-11!     2.5760e-11!     2.1199e-10!     1.8016e-11!     1.0000e-01!     1.3054e-11!     1.6670e-11!     5.3798e-11!     4.7608e-11!     2.1053e-12!     0.0000e+00!     0.0000e+00!     4.9009e-10!     1.5851e-10!     9.0190e+00!     1.2424e+00!     8.6956e+05!     1.0987e+00!     6.8925e-05!     7.4000e-10!     2.0000e-08!     9.9097e-10!     0.0000e+00!     0.0000e+00!
     2.9393e+02!     4.9700e+00!     1.1783e+02!     1.1286e+02!     2.0206e-02!     1.0130e+03!     9.0842e-09!     2.3298e-11!     1.9866e-10!     1.2528e-07!     1.0000e+00!     0.0000e+00!     5.5832e+05!     1.0980e-10!     6.3206e-10!     1.3067e-10!     1.2407e-10!     4.0169e-11!     3.7313e-11!     2.5937e-11!     9.4314e-11!     1.2430e-11!     1.9232e-10!     2.4197e-11!     1.0000e-01!     9.5908e-12!     1.6200e-11!     5.2206e-11!     4.5336e-11!     2.1240e-12!     8.2537e-11!     2.1694e-10!     5.2908e-10!     1.6341e-10!     8.2270e+00!     1.1633e+00!     3.1258e+05!     3.8131e-01!     5.9769e-05!     7.4000e-10!     2.0000e-08!     1.1817e-09!     3.9035e-11!     9.7223e-11!
     2.9390e+02!     4.9700e+00!     1.1783e+02!     1.1289e+02!     2.0093e-02!     1.0130e+03!     9.0149e-09!     2.1545e-11!     1.6630e-10!     1.2574e-07!     1.0000e+00!     0.0000e+00!     5.4592e+05!     1.3533e-10!     7.0989e-10!     1.0196e-10!     2.0079e-11!     3.6938e-11!     5.4854e-11!     2.6893e-11!     9.2057e-11!     2.0120e-11!     2.1587e-10!     2.1082e-11!     1.0000e-01!     1.0601e-11!     1.7638e-11!     5.2235e-11!     4.7861e-11!     2.1620e-12!     0.0000e+00!     0.0000e+00!     5.6157e-10!     1.6798e-10!     8.2079e+00!     1.2150e+00!     5.4448e+05!     5.6155e-01!     6.1816e-05!     7.4000e-10!     2.0000e-08!     1.2376e-09!     0.0000e+00!     0.0000e+00!
     2.9381e+02!     4.9700e+00!     1.1783e+02!     1.1291e+02!     2.0060e-02!     1.0130e+03!     7.5687e-09!     2.4259e-11!     1.6939e-10!     1.3169e-07!     1.0000e+00!     1.9541e-13!     3.9625e+05!     6.0953e-11!     7.1399e-10!     1.4231e-10!     9.6842e-11!     4.7256e-11!     4.4406e-11!     2.0943e-11!     1.0719e-10!     1.0410e-11!     1.9317e-10!     1.7967e-11!     1.0000e-01!     1.1272e-11!     1.9077e-11!     5.2263e-11!     5.0387e-11!     2.2000e-12!     2.6385e-11!     2.3692e-10!     5.4498e-10!     1.5419e-10!     7.5731e+00!     1.1430e+00!     2.8878e+05!     1.6238e+00!     5.7555e-05!     7.4000e-10!     2.0000e-08!     1.3561e-09!     8.0194e-12!     6.1429e-11!
     2.9379e+02!     4.9700e+00!     1.1783e+02!     1.1293e+02!     2.0033e-02!     1.0130e+03!     7.7697e-09!     3.0320e-11!     1.6720e-10!     1.2824e-07!     1.0000e+00!     3.3756e-08!     6.1646e+05!     7.0056e-11!     6.3150e-10!     8.9309e-11!     1.4604e-11!     3.5785e-11!     6.7154e-11!     2.0840e-11!     7.9419e-11!     2.0840e-11!     2.0098e-10!     1.8792e-11!     1.0000e-01!     1.2925e-11!     1.9045e-11!     5.3247e-11!     5.3777e-11!     2.3150e-12!     0.0000e+00!     0.0000e+00!     5.1876e-10!     1.4705e-10!     7.2006e+00!     1.1872e+00!     4.5343e+05!     2.2502e+00!     6.0580e-05!     7.4000e-10!     2.0000e-08!     1.1689e-09!     0.0000e+00!     0.0000e+00!
     2.9442e+02!     4.9700e+00!     1.1783e+02!     1.1295e+02!     2.0138e-02!     1.0130e+03!     7.2624e-09!     4.1607e-11!     1.4490e-10!     1.2869e-07!     1.0000e+00!     5.7804e-07!     6.8958e+05!     1.2505e-10!     7.2573e-10!     1.3900e-10!     9.3024e-11!     4.3768e-11!     4.6299e-11!     2.6858e-11!     1.2089e-10!     2.0840e-11!     2.0599e-10!     1.9617e-11!     1.0000e-01!     1.0867e-11!     1.9013e-11!     5.4230e-11!     5.7167e-11!     2.4300e-12!     6.5683e-11!     2.5138e-10!     5.2373e-10!     1.3771e-10!     7.7902e+00!     1.1726e+00!     5.8151e+05!     2.2948e+00!     5.6776e-05!     7.4000e-10!     2.0000e-08!     9.0593e-10!     2.5590e-11!     5.0784e-11!
     2.9514e+02!     4.9700e+00!     1.1783e+02!     1.1297e+02!     2.0391e-02!     1.0130e+03!     6.8699e-09!     5.1387e-11!     1.5176e-10!     1.3097e-07!     1.0000e+00!     2.5698e-06!     1.0511e+06!     8.5451e-11!     6.3312e-10!     9.0992e-11!     1.4861e-11!     3.4236e-11!     5.0645e-11!     2.7168e-11!     9.1149e-11!     2.3960e-11!     2.0126e-10!     2.3222e-11!     1.0000e-01!     1.2584e-11!     1.9790e-11!     5.2682e-11!     5.5176e-11!     2.2787e-12!     0.0000e+00!     0.0000e+00!     6.6955e-10!     1.5373e-10!     7.9246e+00!     1.1855e+00!     7.4071e+05!     2.7711e+00!     5.3600e-05!     7.4000e-10!     2.0000e-08!     7.1273e-10!     0.0000e+00!     0.0000e+00!
     2.9542e+02!     4.9700e+00!     1.1783e+02!     1.1299e+02!     2.0564e-02!     1.0130e+03!     6.5628e-09!     5.6953e-11!     1.3665e-10!     1.3923e-07!     1.0000e+00!     5.0930e-06!     1.2664e+06!     3.7751e-10!     7.4265e-10!     1.6853e-10!     1.5119e-10!     4.8695e-11!     4.3960e-11!     3.2873e-11!     1.5058e-10!     1.9240e-11!     2.1242e-10!     2.6827e-11!     1.0000e-01!     1.3181e-11!     2.0567e-11!     5.1135e-11!     5.3185e-11!     2.1275e-12!     3.4653e-11!     2.8449e-10!     7.5523e-10!     2.0069e-10!     9.4570e+00!     1.2755e+00!     9.9105e+05!     4.0920e+00!     5.1702e-05!     7.4000e-10!     2.0000e-08!    -9.9990e-06!     1.2477e-11!     1.2792e-10!
