-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!         IC4H10!         NC4H10!         IC5H12!         NC5H12!           C2H4!           C3H6!           C2H2!        APINENE!         ALBEDO!           XRO2!       CAMPHENE!          GTERP!       LIMONENE!         CARENE!          XMACR!           XMVK!      XLANCISOP!  XLANCMONOTERP!          XREAC!       XREACUNC!         XOHDEV!       Xreacvar!          SAREA!          XLISA!         XMAGIC!          XHCHO!   XMACR_stddev!    XMVK_stddev!
     2.9830e+02!     4.9700e+00!     1.1783e+02!     1.1220e+02!     2.1021e-02!     1.0130e+03!     1.1645e-08!     3.4893e-11!     9.4450e-11!     4.3770e-07!     1.0000e+00!     2.5808e-05!     1.5351e+06!     2.1337e-09!     7.6147e-10!     1.7017e-10!     5.3227e-11!     5.2918e-11!     4.8949e-11!     2.2192e-11!     1.2156e-10!     6.7830e-11!     1.7422e-10!     1.0150e-10!     1.0000e-01!     3.3355e-11!     5.0095e-11!     7.3320e-11!     1.0179e-10!     4.1500e-12!     5.2765e-11!     2.4941e-10!     1.6996e-09!     4.2879e-10!     2.7922e+01!     2.6371e+00!     9.7814e+05!     9.3573e+00!     5.0327e-05!     7.4000e-10!     2.0000e-08!     1.5702e-09!     1.6887e-11!     0.0000e+00!
     2.9807e+02!     4.9700e+00!     1.1783e+02!     1.1222e+02!     2.1171e-02!     1.0130e+03!     1.1079e-08!     3.5455e-11!     9.9009e-11!     1.2648e-07!     1.0000e+00!     2.3572e-05!     1.4096e+06!     1.4366e-09!     9.0042e-10!     3.5119e-10!     7.9640e-12!     3.4064e-11!     4.7402e-11!     1.3596e-11!     4.8439e-10!     1.2455e-10!     2.0249e-10!     1.1387e-10!     1.0000e-01!     3.0036e-11!     5.0048e-11!     7.3693e-11!     9.8682e-11!     4.0367e-12!     0.0000e+00!     0.0000e+00!     1.6982e-09!     4.2253e-10!     2.9382e+01!     2.9565e+00!     9.6060e+05!     7.3172e+00!     5.0931e-05!     7.4000e-10!     2.0000e-08!     1.7269e-09!     0.0000e+00!     0.0000e+00!
     2.9812e+02!     4.9700e+00!     1.1783e+02!     1.1224e+02!     2.1246e-02!     1.0130e+03!     1.1718e-08!     3.3452e-11!     9.0290e-11!     1.2702e-07!     1.0000e+00!     2.0821e-05!     1.3236e+06!     2.3087e-09!     6.9746e-10!     1.8130e-10!     1.1135e-10!     5.8814e-11!     4.6185e-11!     2.0571e-11!     1.2205e-10!     3.7950e-11!     1.6868e-10!     1.2623e-10!     1.0000e-01!     2.9630e-11!     5.0000e-11!     7.4067e-11!     9.5580e-11!     3.9233e-12!     5.4947e-11!     1.9016e-10!     1.8877e-09!     4.0437e-10!     2.5741e+01!     2.7952e+00!     9.1448e+05!     1.1441e+01!     5.2729e-05!     7.4000e-10!     2.0000e-08!     1.9350e-09!     8.2561e-13!     6.1453e-11!
     2.9760e+02!     4.9700e+00!     1.1783e+02!     1.1226e+02!     2.1420e-02!     1.0130e+03!     1.1724e-08!     3.4855e-11!     8.6833e-11!     1.2665e-07!     1.0000e+00!     1.6071e-05!     9.1427e+05!     2.9811e-09!     7.4650e-10!     1.3560e-10!     2.3694e-11!     5.7063e-11!     4.1699e-11!     2.4089e-11!     1.7369e-10!     7.7850e-11!     2.3997e-10!     1.3172e-10!     1.0000e-01!     2.6669e-11!     5.4772e-11!     7.6278e-11!     1.0182e-10!     3.8417e-12!     0.0000e+00!     0.0000e+00!     1.7070e-09!     3.4438e-10!     3.1686e+01!     3.6777e+00!     6.3797e+05!     1.8867e+01!     5.3316e-05!     7.4000e-10!     2.0000e-08!     1.5652e-09!     0.0000e+00!     0.0000e+00!
     2.9712e+02!     4.9700e+00!     1.1783e+02!     1.1228e+02!     2.1396e-02!     1.0130e+03!     1.2221e-08!     3.3153e-11!     8.8347e-11!     1.2545e-07!     1.0000e+00!     1.1990e-05!     1.0734e+06!     2.4633e-09!     6.8120e-10!     1.1480e-10!     6.0732e-11!     4.3262e-11!     3.4553e-11!     1.6439e-11!     1.0453e-10!     3.7370e-11!     1.7099e-10!     1.3720e-10!     1.0000e-01!     2.6418e-11!     5.9545e-11!     7.8490e-11!     1.0806e-10!     3.7600e-12!     5.8025e-11!     2.2934e-10!     1.7181e-09!     3.0275e-10!     2.3900e+01!     2.9436e+00!     1.2898e+06!     1.1384e+01!     6.0671e-05!     7.4000e-10!     2.0000e-08!     2.0529e-09!     1.8920e-11!     7.2561e-11!
     2.9696e+02!     4.9700e+00!     1.1783e+02!     1.1230e+02!     2.1363e-02!     1.0130e+03!     1.2642e-08!     2.9763e-11!     8.9120e-11!     1.2492e-07!     1.0000e+00!     8.7787e-06!     7.8042e+05!     3.7044e-09!     7.9769e-10!     1.6111e-10!     1.8039e-11!     7.3219e-11!     2.9488e-11!     2.6520e-11!     2.2773e-10!     1.0480e-10!     3.2712e-10!     1.5519e-10!     1.0000e-01!     2.5850e-11!     6.7840e-11!     8.6765e-11!     1.1574e-10!     4.1150e-12!     0.0000e+00!     0.0000e+00!     1.7945e-09!     2.9309e-10!     2.6662e+01!     3.1704e+00!     6.5794e+05!     1.5702e+01!     6.0097e-05!     7.4000e-10!     2.0000e-08!     1.9976e-09!     0.0000e+00!     0.0000e+00!
     2.9642e+02!     4.9700e+00!     1.1783e+02!     1.1232e+02!     2.1340e-02!     1.0130e+03!     1.2227e-08!     3.1051e-11!     9.2247e-11!     1.2385e-07!     1.0000e+00!     5.6657e-06!     5.5031e+05!     3.0324e-09!     6.5197e-10!     1.6203e-10!     5.2685e-11!     5.3560e-11!     3.6617e-11!     2.2938e-11!     9.1887e-11!     4.0770e-11!     1.6876e-10!     1.7318e-10!     1.0000e-01!     2.2049e-11!     7.6135e-11!     9.5040e-11!     1.2342e-10!     4.4700e-12!     9.4395e-11!     2.9039e-10!     1.9055e-09!     3.1148e-10!     2.2020e+01!     2.4823e+00!     3.9063e+05!     1.0034e+01!     5.9999e-05!     7.4000e-10!     2.0000e-08!     1.8917e-09!     9.5263e-13!     9.6978e-11!
     2.9629e+02!     4.9700e+00!     1.1783e+02!     1.1234e+02!     2.1510e-02!     1.0130e+03!     1.1890e-08!     3.0550e-11!     9.6551e-11!     1.2330e-07!     1.0000e+00!     2.8913e-06!     3.6912e+05!     2.6419e-09!     8.6073e-10!     1.9208e-10!     2.3729e-11!     8.6966e-11!     5.9263e-11!     3.0023e-11!     2.1838e-10!     1.0558e-10!     4.1595e-10!     8.6590e-11!     1.0000e-01!     1.8643e-11!     3.8068e-11!     4.7520e-11!     6.1708e-11!     2.2350e-12!     0.0000e+00!     0.0000e+00!     1.7839e-09!     2.8988e-10!     1.9846e+01!     2.1909e+00!     2.2138e+05!     6.5837e+00!     5.8229e-05!     7.4000e-10!     2.0000e-08!     2.2357e-09!     0.0000e+00!     0.0000e+00!
     2.9602e+02!     4.9700e+00!     1.1783e+02!     1.1236e+02!     2.1428e-02!     1.0130e+03!     1.1414e-08!     3.1395e-11!     1.1444e-10!     1.2454e-07!     1.0000e+00!     1.5817e-06!     3.3334e+05!     2.1833e-09!     6.6318e-10!     1.9140e-10!     2.5995e-10!     5.6436e-11!     3.9310e-11!     2.3511e-11!     7.2795e-11!     3.7130e-11!     1.4573e-10!     4.3295e-11!     1.0000e-01!     1.8364e-11!     1.9034e-11!     2.3760e-11!     3.0854e-11!     1.1175e-12!     0.0000e+00!     0.0000e+00!     1.7059e-09!     2.6183e-10!     1.7628e+01!     2.0123e+00!     2.5735e+05!     5.4405e+00!     6.3492e-05!     7.4000e-10!     2.0000e-08!     1.8637e-09!     0.0000e+00!     0.0000e+00!
     2.9561e+02!     4.9700e+00!     1.1783e+02!     1.1239e+02!     2.1331e-02!     1.0130e+03!     1.1656e-08!     2.9257e-11!     1.3152e-10!     1.2509e-07!     1.0000e+00!     4.6386e-07!     3.2855e+05!     1.1644e-09!     7.2850e-10!     1.1502e-10!     3.3202e-11!     5.4577e-11!     3.5911e-11!     2.2316e-11!     1.1905e-10!     2.4650e-11!     2.7063e-10!     3.7328e-11!     1.0000e-01!     1.9685e-11!     2.8731e-11!     7.4858e-11!     8.7244e-11!     1.9637e-12!     0.0000e+00!     0.0000e+00!     1.6020e-09!     2.4384e-10!     1.8594e+01!     2.1318e+00!     2.2854e+05!     7.0201e+00!     6.9632e-05!     7.4000e-10!     2.0000e-08!     2.1476e-09!     0.0000e+00!     0.0000e+00!
