-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!           C2H4!         ALBEDO!          SAREA!          XREAC!          MAGIC!
     2.9991e+02!     4.9700e+00!     1.1783e+02!     1.0826e+02!     2.0422e+00!     1.0130e+03!     1.2856e-08!     3.0805e-11!     3.0805e-11!     1.1886e-07!     1.0000e+00!     1.7225e-05!     3.3578e+05!     6.0144e-09!     6.4885e-10!     1.4268e-10!     6.3000e-11!     1.0000e-01!     7.3000e-05!    -4.9163e+01!     2.0000e+10!
     2.9472e+02!     4.9700e+00!     1.1783e+02!     1.0897e+02!     2.1530e+00!     1.0130e+03!     1.1150e-08!     3.8750e-11!     3.8750e-11!     1.2341e-07!     1.0000e+00!     3.0659e-06!     1.5700e+05!     4.4270e-11!     4.9434e-10!     9.9250e-11!     5.8060e-11!     1.0000e-01!     7.3000e-05!    -6.8235e+00!     2.0000e+10!
     2.9510e+02!     4.9700e+00!     1.1783e+02!     1.0901e+02!     2.1513e+00!     1.0130e+03!     7.0416e-09!     8.0835e-11!     8.0835e-11!     1.3348e-07!     1.0000e+00!     7.7480e-06!     3.8501e+05!     3.1403e-10!     5.1599e-10!     1.0750e-10!     7.6370e-11!     1.0000e-01!     7.3000e-05!    -7.8690e+00!     2.0000e+10!
     2.9495e+02!     4.9700e+00!     1.1783e+02!     1.0901e+02!     2.1323e+00!     1.0130e+03!     6.3771e-09!     1.3222e-10!     1.3222e-10!     1.3187e-07!     1.0000e+00!     8.9570e-06!     7.0001e+05!     3.1403e-10!     5.1599e-10!     1.0750e-10!     7.6370e-11!     1.0000e-01!     7.3000e-05!    -8.7296e+00!     2.0000e+10!
     2.9976e+02!     4.9700e+00!     1.1783e+02!     1.0926e+02!     2.0607e+00!     1.0130e+03!     1.3939e-08!    -5.9449e-12!    -5.9449e-12!     1.4118e-07!     1.0000e+00!     2.1993e-05!     5.0350e+05!     5.1689e-09!     5.5074e-10!     6.6710e-11!     6.1770e-11!     1.0000e-01!     7.3000e-05!    -8.7173e+01!     2.0000e+10!
     2.9622e+02!     4.9700e+00!     1.1783e+02!     1.0931e+02!     2.1974e+00!     1.0130e+03!     1.0085e-08!     5.7298e-12!     5.7298e-12!     1.1440e-07!     1.0000e+00!     2.1904e-06!     5.6653e+04!     3.5635e-09!     5.7542e-10!     6.9610e-11!     1.0113e-10!     1.0000e-01!     7.3000e-05!    -3.6676e+01!     2.0000e+10!
     2.9576e+02!     4.9700e+00!     1.1783e+02!     1.0931e+02!     2.2311e+00!     1.0130e+03!     1.0552e-08!     1.2980e-12!     1.2980e-12!     1.1255e-07!     1.0000e+00!     1.7027e-06!     3.6575e+04!     3.5635e-09!     5.7542e-10!     6.9610e-11!     1.0113e-10!     1.0000e-01!     7.3000e-05!    -2.6101e+01!     2.0000e+10!
     2.9532e+02!     4.9700e+00!     1.1783e+02!     1.0935e+02!     2.1436e+00!     1.0130e+03!     1.4586e-08!     2.7550e-11!     2.7550e-11!     1.1160e-07!     1.0000e+00!     2.4824e-06!     2.5630e+05!     1.6234e-09!     5.6992e-10!     6.8270e-11!     8.6030e-11!     1.0000e-01!     7.3000e-05!    -2.1989e+01!     2.0000e+10!
     2.9533e+02!     4.9700e+00!     1.1783e+02!     1.0935e+02!     2.1602e+00!     1.0130e+03!     1.4788e-08!     2.2172e-11!     2.2172e-11!     1.1127e-07!     1.0000e+00!     2.3236e-06!     2.2400e+05!     1.6234e-09!     5.6992e-10!     6.8270e-11!     8.6030e-11!     1.0000e-01!     7.3000e-05!    -2.0872e+01!     2.0000e+10!
     2.9555e+02!     4.9700e+00!     1.1783e+02!     1.0939e+02!     2.1914e+00!     1.0130e+03!     2.0024e-08!     3.7086e-11!     3.7086e-11!     1.3245e-07!     1.0000e+00!     4.5755e-07!     4.6400e+05!     1.0676e-09!     5.8360e-10!     8.2010e-11!     7.0600e-11!     1.0000e-01!     7.3000e-05!    -3.0997e+01!     2.0000e+10!
