-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
     2.4472e+02!     5.5300e+01!    -7.7730e+01!     5.8347e+01!     4.2733e-04!     9.5300e+02!     1.7121e-08!     1.0000e-12!     5.7800e-11!     1.7097e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -6.7038e-11!    -4.1935e-01!     8.8582e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4486e+02!     5.5300e+01!    -7.7730e+01!     5.8354e+01!     4.3190e-04!     9.5300e+02!     1.7460e-08!     0.0000e+00!     5.6100e-11!     1.7174e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     2.2911e-11!    -6.0910e-01!     1.0820e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4490e+02!     5.5300e+01!    -7.7730e+01!     5.8361e+01!     4.3643e-04!     9.5300e+02!     1.7390e-08!     1.5000e-12!     5.2700e-11!     1.7043e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -5.1476e-11!    -6.1497e-01!     9.0360e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4490e+02!     5.5300e+01!    -7.7730e+01!     5.8368e+01!     4.3178e-04!     9.5300e+02!     1.7870e-08!     5.0000e-13!     5.2500e-11!     1.7126e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -5.1476e-11!     2.6448e-01!     6.8370e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4493e+02!     5.5300e+01!    -7.7730e+01!     5.8375e+01!     4.3227e-04!     9.5300e+02!     1.8171e-08!     0.0000e+00!     5.5300e-11!     1.7242e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -3.6132e-11!    -1.9885e+00!     9.5360e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4496e+02!     5.5300e+01!    -7.7730e+01!     5.8382e+01!     4.3864e-04!     9.5300e+02!     1.8480e-08!     0.0000e+00!     5.4400e-11!     1.7112e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -8.3202e-11!     7.3480e-02!     9.9610e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4490e+02!     5.5300e+01!    -7.7730e+01!     5.8389e+01!     4.3367e-04!     9.5300e+02!     1.8795e-08!     0.0000e+00!     5.0000e-11!     1.7068e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -8.3202e-11!    -9.3850e-01!     1.0659e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4477e+02!     5.5300e+01!    -7.7730e+01!     5.8396e+01!     4.2652e-04!     9.5300e+02!     1.8961e-08!     2.0000e-13!     4.8100e-11!     1.7062e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -1.5837e-10!    -6.3297e-01!     9.9660e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4455e+02!     5.5300e+01!    -7.7730e+01!     5.8403e+01!     4.2208e-04!     9.5300e+02!     1.9173e-08!     0.0000e+00!     5.9100e-11!     1.7109e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -9.1676e-12!    -1.1619e+00!     7.8508e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4413e+02!     5.5300e+01!    -7.7730e+01!     5.8410e+01!     4.0060e-04!     9.5300e+02!     1.9365e-08!     0.0000e+00!     6.0000e-11!     1.7034e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -2.4403e-11!     5.2067e-01!     1.1460e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4387e+02!     5.5300e+01!    -7.7730e+01!     5.8417e+01!     3.8982e-04!     9.5300e+02!     1.9045e-08!     0.0000e+00!     5.1100e-11!     1.6958e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -9.1875e-11!    -3.1287e-01!     1.1100e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4384e+02!     5.5300e+01!    -7.7730e+01!     5.8424e+01!     3.9329e-04!     9.5300e+02!     1.9346e-08!     0.0000e+00!     6.4300e-11!     1.7069e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -2.6856e-11!    -8.8252e-01!     7.0158e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4382e+02!     5.5300e+01!    -7.7730e+01!     5.8431e+01!     3.9077e-04!     9.5300e+02!     1.9560e-08!     0.0000e+00!     5.3300e-11!     1.6961e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     4.8741e-11!    -1.2295e+00!     9.2920e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4379e+02!     5.5300e+01!    -7.7730e+01!     5.8437e+01!     3.9021e-04!     9.5300e+02!     1.9620e-08!     0.0000e+00!     5.6900e-11!     1.6962e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     4.8741e-11!    -1.5469e+00!     1.0707e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4370e+02!     5.5300e+01!    -7.7730e+01!     5.8444e+01!     3.9012e-04!     9.5300e+02!     1.9660e-08!     7.0000e-13!     5.4100e-11!     1.6923e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     1.5763e-11!    -1.1983e+00!     9.6702e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4362e+02!     5.5300e+01!    -7.7730e+01!     5.8451e+01!     3.8407e-04!     9.5300e+02!     2.0351e-08!     3.7000e-12!     6.2800e-11!     1.6953e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -1.0543e-10!    -4.2090e-01!     1.0598e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4349e+02!     5.5300e+01!    -7.7730e+01!     5.8458e+01!     3.7646e-04!     9.5300e+02!     1.9756e-08!     1.7000e-12!     2.9600e-11!     1.6883e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -1.0543e-10!    -9.5400e-02!     1.2626e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4341e+02!     5.5300e+01!    -7.7730e+01!     5.8465e+01!     3.8140e-04!     9.5300e+02!     2.0550e-08!     0.0000e+00!     2.4400e-11!     1.6978e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -4.8450e-12!     1.7488e-01!     1.4125e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4334e+02!     5.5300e+01!    -7.7730e+01!     5.8472e+01!     3.7767e-04!     9.5300e+02!     2.1374e-08!     0.0000e+00!     3.0600e-11!     1.6890e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     3.4418e-12!     5.8349e-01!     1.1778e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4320e+02!     5.5300e+01!    -7.7730e+01!     5.8479e+01!     3.6728e-04!     9.5300e+02!     2.1590e-08!     0.0000e+00!     1.7200e-11!     1.6852e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     3.4418e-12!    -6.3270e-02!     1.2859e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4297e+02!     5.5300e+01!    -7.7730e+01!     5.8486e+01!     3.7035e-04!     9.5300e+02!     2.2582e-08!     0.0000e+00!     2.8400e-11!     1.6837e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     1.3791e-05!    -1.4367e-10!    -2.2086e-01!     9.8780e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4273e+02!     5.5300e+01!    -7.7730e+01!     5.8493e+01!     3.6031e-04!     9.5300e+02!     2.1914e-08!     0.0000e+00!     3.6800e-11!     1.6822e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     4.9961e-05!    -5.0017e-11!     5.6762e-01!     1.1729e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4249e+02!     5.5300e+01!    -7.7730e+01!     5.8500e+01!     3.4503e-04!     9.5300e+02!     2.0951e-08!     2.0000e-12!     1.2100e-11!     1.6812e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     1.4671e-04!    -8.8608e-12!     2.9758e-01!     1.1949e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4232e+02!     5.5300e+01!    -7.7730e+01!     5.8507e+01!     3.4118e-04!     9.5300e+02!     2.2571e-08!     2.0000e-12!     1.2100e-11!     1.6898e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     3.2233e-04!     4.3254e-13!     4.3349e-02!     1.3003e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4230e+02!     5.5300e+01!    -7.7730e+01!     5.8514e+01!     3.3728e-04!     9.5300e+02!     2.2784e-08!     0.0000e+00!     4.2000e-11!     1.6812e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     5.7945e-04!    -1.4829e-11!     4.5550e-01!     1.4563e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4256e+02!     5.5300e+01!    -7.7730e+01!     5.8521e+01!     3.4998e-04!     9.5300e+02!     2.2392e-08!     0.0000e+00!     4.2000e-11!     1.6841e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     8.9926e-04!     6.8027e-11!    -1.5942e-02!     2.0471e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4303e+02!     5.5300e+01!    -7.7730e+01!     5.8528e+01!     3.6860e-04!     9.5300e+02!     2.1374e-08!     0.0000e+00!     2.8200e-11!     1.6895e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     1.2707e-03!     6.8027e-11!     1.4931e-01!     2.6777e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4330e+02!     5.5300e+01!    -7.7730e+01!     5.8535e+01!     3.6902e-04!     9.5300e+02!     2.0616e-08!     3.7000e-12!     1.4200e-11!     1.6892e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     1.7121e-03!     9.3617e-11!     4.5071e-01!     3.1738e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4360e+02!     5.5300e+01!    -7.7730e+01!     5.8542e+01!     3.7736e-04!     9.5300e+02!     2.0655e-08!     0.0000e+00!     1.5100e-11!     1.6880e-07!     1.0000e+00!     4.4800e+02!     3.7755e-07!     2.2592e-03!     1.1115e-10!     1.2156e+00!     3.4417e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4408e+02!     5.5300e+01!    -7.7730e+01!     5.8549e+01!     4.0104e-04!     9.5300e+02!     2.0921e-08!     0.0000e+00!     2.3700e-11!     1.6940e-07!     1.0000e+00!     4.4800e+02!     5.1248e-07!     2.8420e-03!     1.1115e-10!     3.0142e-01!     3.6625e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4459e+02!     5.5300e+01!    -7.7730e+01!     5.8556e+01!     4.1303e-04!     9.5300e+02!     2.1321e-08!     0.0000e+00!     1.4300e-11!     1.7035e-07!     1.0000e+00!     4.4800e+02!     6.8479e-07!     3.4727e-03!     1.2230e-10!    -1.2513e-01!     4.0675e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
